BotName	SettingName	SettingJson	GameWord	TotalGuessesMade	LatestGameState	GameResult
BasicRandomBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "_ _ _ _ _ _ _ K", "guesses_left": 0, "correct_guesses": ["K"], "incorrect_guesses": ["S", "P", "O", "Z", "I", "Y", "X", "F", "J"], "game_word": {"game_word": "AARDVARK"}}	lose
N/A	NoPossibleGame	{"WordLengthLowerBound": 1500}	N/A	N/A	N/A	Error: No game created for given settings!
BasicRandomBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AANI"}	10	{"current_state": "A A _ _", "guesses_left": 0, "correct_guesses": ["A"], "incorrect_guesses": ["W", "F", "S", "P", "B", "U", "Q", "G", "R"], "game_word": {"game_word": "AANI"}}	lose
BasicRandomBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AAL"}	10	{"current_state": "_ _ _", "guesses_left": 0, "correct_guesses": [], "incorrect_guesses": ["J", "C", "V", "R", "U", "E", "O", "Y", "W", "P"], "game_word": {"game_word": "AAL"}}	lose
BasicRandomBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AAM"}	20	{"current_state": "_ _ M", "guesses_left": 0, "correct_guesses": ["M"], "incorrect_guesses": ["O", "F", "I", "H", "C", "P", "U", "B", "V", "S", "E", "Y", "J", "K", "G", "Q", "R", "L", "D"], "game_word": {"game_word": "AAM"}}	lose
BasicRandomBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "_ _ R _ V _ R _", "guesses_left": 0, "correct_guesses": ["R", "V"], "incorrect_guesses": ["Z", "T", "C", "L", "X", "Y", "G", "M"], "game_word": {"game_word": "AARDVARK"}}	lose
N/A	NoPossibleGame	{"WordLengthLowerBound": 1500}	N/A	N/A	N/A	Error: No game created for given settings!
BasicRandomBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "_ _ R _ _ _ R _", "guesses_left": 0, "correct_guesses": ["R"], "incorrect_guesses": ["S", "X", "C", "G", "B", "O", "T", "P", "M"], "game_word": {"game_word": "AARDVARK"}}	lose
BasicRandomBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AALII"}	10	{"current_state": "A A L _ _", "guesses_left": 0, "correct_guesses": ["A", "L"], "incorrect_guesses": ["T", "Y", "E", "D", "X", "N", "M", "G"], "game_word": {"game_word": "AALII"}}	lose
BasicRandomBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AAL"}	20	{"current_state": "_ _ L", "guesses_left": 0, "correct_guesses": ["L"], "incorrect_guesses": ["C", "T", "Y", "S", "P", "R", "G", "V", "W", "O", "Q", "K", "I", "Z", "M", "J", "X", "F", "U"], "game_word": {"game_word": "AAL"}}	lose
BasicRandomBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDWOLF"}	10	{"current_state": "_ _ _ _ _ O _ _", "guesses_left": 0, "correct_guesses": ["O"], "incorrect_guesses": ["C", "U", "Q", "P", "T", "K", "M", "G", "V"], "game_word": {"game_word": "AARDWOLF"}}	lose
N/A	NoPossibleGame	{"WordLengthLowerBound": 1500}	N/A	N/A	N/A	Error: No game created for given settings!
BasicRandomBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "_ _ _ _ V _ _ _", "guesses_left": 0, "correct_guesses": ["V"], "incorrect_guesses": ["B", "S", "C", "H", "Q", "T", "X", "P", "U"], "game_word": {"game_word": "AARDVARK"}}	lose
BasicRandomBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AANI"}	10	{"current_state": "_ _ _ I", "guesses_left": 0, "correct_guesses": ["I"], "incorrect_guesses": ["J", "K", "F", "H", "U", "W", "E", "D", "G"], "game_word": {"game_word": "AANI"}}	lose
BasicRandomBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AAM"}	7	{"current_state": "A A M", "guesses_left": 13, "correct_guesses": ["A", "M"], "incorrect_guesses": ["L", "C", "W", "D", "H"], "game_word": {"game_word": "AAM"}}	win
BasicRandomBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDWOLF"}	10	{"current_state": "_ _ R _ _ _ L F", "guesses_left": 0, "correct_guesses": ["R", "F", "L"], "incorrect_guesses": ["Y", "M", "X", "V", "H", "K", "T"], "game_word": {"game_word": "AARDWOLF"}}	lose
N/A	NoPossibleGame	{"WordLengthLowerBound": 1500}	N/A	N/A	N/A	Error: No game created for given settings!
